Designator,Footprint,Quantity,Value,LCSC Part #
_2,ROBOBUZZ_0.8X,1,,
,ROBOJACKETS,1,,
7.4_LIPO1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery,
C1,1206,1,C 0.22uF,
C2,1206,1,C 0.1uF,
C3,1206,1,C,
"D1, D2, D3, D4",DIO_SFH_4545_copy,4,SFH_4545,
"D5, D6",1206,2,LED,
"J1, J3, J4",PinSocket_1x08_P2.54mm_Vertical,3,Conn_01x08,
"J1_MOTORENCODER1, J2_MOTORENCODER1",PinSocket_1x06_P2.54mm_Vertical,2,Conn_01x06,
"Q1, Q3, Q5, Q7",TO-92_Inline,4,BS170,
"Q2, Q4, Q6, Q8",XDCR_TEFT4300,4,TEFT4300,
Q9,TO-220-3_Vertical,1,FQP27P06,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R1_2, R5, R6, R7, R8, R9",1206,16,R_US,
"R19, R20",1206,2,4.7k,
R2,1206,1,100/75,
R21,1206,1,1k,
R3,1206,1,1.3k,
R4,1206,1,2k,
SW2,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_THTPad_D2.0mm_Drill1.0mm,6,TestPoint,
U1,Teensy4.1_LessHoles,1,Teensy_4.1,
U2,TO-220-3_Vertical,1,L7805,
